datetime,open,high,low,close,volume
1.642E+12,1077.3,1077.3,1076.08,1076.55,2458
1.642E+12,1076,1076.98,1075.12,1076.89,2157
1.642E+12,1076,1076.86,1075.55,1076,2794
1.642E+12,1076.72,1076.72,1074.1,1074.1,1578
1.642E+12,1074,1074.94,1073.71,1074.94,2002
1.642E+12,1075,1075,1074,1074.5,2328
1.642E+12,1074.9,1075.98,1074.9,1075.87,880
1.642E+12,1076,1077.2,1075.89,1077.2,5049
1.642E+12,1077.23,1078.88,1077,1078,4012
1.642E+12,1078.5,1082,1078.5,1081,13045
1.642E+12,1081,1081.06,1080,1080.78,2250
1.642E+12,1079.95,1081.68,1079.83,1081.68,2134
1.642E+12,1081.02,1082.19,1081,1082.19,2853
1.642E+12,1081,1081.93,1080,1081.68,7484
1.642E+12,1082.47,1082.59,1081.16,1081.16,3402
1.642E+12,1081,1081,1080.5,1081,2544
1.642E+12,1081.79,1081.89,1081.29,1081.85,1376
1.642E+12,1081.62,1082.99,1081.62,1082,8394
1.642E+12,1082.28,1083.8899,1082,1083.87,7092
1.642E+12,1083.7799,1083.7799,1082,1082,2940
1.642E+12,1082.64,1082.7,1082,1082,1575
1.642E+12,1082.68,1082.7,1081.96,1082,5277
1.642E+12,1082.18,1082.5,1081.69,1082.23,2469
1.642E+12,1082,1082.55,1081.69,1082.55,1909
1.642E+12,1082.73,1083.57,1082.5,1083.37,7365
1.642E+12,1083.25,1083.25,1081.5,1081.63,2518
1.642E+12,1081.63,1082.16,1081.49,1081.62,9024
1.642E+12,1081.64,1081.9,1081.21,1081.21,1836
1.642E+12,1081,1081.03,1080,1080.02,5940
1.642E+12,1080.02,1080.9,1080,1080.22,4335
1.642E+12,1080.05,1081,1078.28,1078.28,30210
1.642E+12,1079,1080,1078.9799,1079.84,1249
1.642E+12,1079.98,1080.2499,1079.91,1080.2499,2176
1.642E+12,1079.66,1080,1079.17,1079.8,4847
1.642E+12,1079.4,1079.8999,1079,1079,3694
1.642E+12,1079,1080,1078.42,1079.9,1494
1.642E+12,1080.49,1081.75,1079.95,1081.75,1405
1.642E+12,1081,1081.3,1080.11,1081.3,2944
1.642E+12,1081,1082.38,1081,1082.3799,4034
1.642E+12,1082.3599,1082.3599,1081.4,1081.49,1199
1.642E+12,1080,1081.89,1080,1081.89,849
1.642E+12,1081.12,1081.12,1081,1081,200
1.642E+12,1080.98,1081.65,1078,1078,4805
1.642E+12,1078.12,1078.89,1077.13,1078.55,4990
1.642E+12,1079,1079.23,1078.23,1078.43,1703
1.642E+12,1078.42,1084.07,1077.27,1081.16,279110
1.642E+12,1080.6734,1084.4899,1080.1201,1081.44,119513
1.642E+12,1081.075,1087.17,1077.1001,1085.18,167397
1.642E+12,1084.88,1088.88,1084.87,1088.02,135287
1.642E+12,1087.9248,1087.9248,1082.3,1083.765,87648
1.642E+12,1083.675,1084.09,1074.2201,1074.6579,150493
1.642E+12,1075.5187,1079.7099,1073.75,1078.98,82201
1.642E+12,1078.98,1082,1078.4401,1080.9501,71411
1.642E+12,1080.32,1082,1077.295,1079.8,61136
1.642E+12,1079.47,1081.25,1076.67,1081.1,51149
1.642E+12,1081.1,1083.6299,1076.94,1077.615,89471
1.642E+12,1077.2801,1077.2801,1073.1101,1074.5702,97917
1.642E+12,1074.32,1077.8299,1072.6,1077.8099,59224
1.642E+12,1077.8299,1077.8299,1075.24,1076.565,39417
1.642E+12,1076.54,1078.02,1073.55,1075.43,60078
1.642E+12,1075.415,1078,1072.5901,1074.6099,69065
1.642E+12,1074.83,1077.29,1073.3001,1074.7625,55225
1.642E+12,1074.76,1075,1072.7,1074.345,37746
1.642E+12,1074.87,1079.3668,1073.63,1077.5,72105
1.642E+12,1077.91,1079.95,1076.81,1079.7273,47696
1.642E+12,1079.8,1081,1078.11,1080.5,57794
1.642E+12,1080.29,1083,1080.29,1082.4,77431
1.642E+12,1082.38,1084.99,1081.6901,1084.1001,104565
1.642E+12,1084.13,1085.25,1082.18,1082.9299,65053
1.642E+12,1083,1085,1080.35,1082.06,72755
1.642E+12,1081.9535,1084.63,1081.24,1083.62,33480
1.642E+12,1083.42,1086.15,1082.5,1084.87,79196
1.642E+12,1084.7773,1085.1999,1081.2501,1082.5,51874
1.642E+12,1082.7299,1084.9799,1082.5201,1084.25,23718
1.642E+12,1084.4987,1086.57,1084,1085.345,51655
1.642E+12,1085.504,1086.76,1083.5101,1084.6,62894
1.642E+12,1084.61,1085.5,1083.13,1084.6901,34704
1.642E+12,1085.3,1086.4999,1084.7301,1086.4999,50361
1.642E+12,1086.45,1086.79,1084.1001,1084.9699,45902
1.642E+12,1084.9699,1086.13,1083.8,1085.3,29733
1.642E+12,1085.97,1085.97,1081.25,1082.87,57840
1.642E+12,1083.5,1084.39,1082.56,1084.2899,24693
1.642E+12,1083.95,1086.84,1083.44,1086.49,84045
1.642E+12,1086.48,1092.13,1086.48,1091.43,203279
1.642E+12,1091.2065,1093.8,1091.2065,1093.4643,117378
1.642E+12,1093.56,1094.67,1092.61,1094.64,94512
1.642E+12,1094.345,1096.04,1093.5,1094.7123,78742
1.642E+12,1094.7197,1095.9999,1093.3121,1094.7103,59571
1.642E+12,1094.949,1096.49,1094.04,1096.2599,65294
1.642E+12,1095.8,1096.24,1094.8601,1095.3318,56482
1.642E+12,1095.554,1096.66,1093.2001,1093.7,73891
1.642E+12,1093.76,1094,1091.65,1093.9899,57253
1.642E+12,1093.99,1095.98,1093.72,1095.405,45844
1.642E+12,1095.48,1098.3399,1095.33,1097.8,102013
1.642E+12,1097.955,1098.8799,1097.51,1098.06,68518
1.642E+12,1097.57,1098.26,1096.6,1097,56581
1.642E+12,1097.3,1097.65,1095.55,1095.725,54407
1.642E+12,1095.98,1098.3799,1095.6,1097.4616,46125
1.642E+12,1097.52,1099.6199,1097.52,1098.98,89928
1.642E+12,1099.18,1100.94,1098.5,1099.01,112069
1.642E+12,1099.33,1100.18,1097.5,1099.08,61842
1.642E+12,1099.37,1100.348,1098.7901,1100,45881
1.642E+12,1100.29,1102.9648,1100.015,1102.0444,116456
1.642E+12,1102.24,1102.6699,1098.36,1099.205,80631
1.642E+12,1099.06,1099.67,1097.8,1098.555,46916
1.642E+12,1098.95,1099.23,1096,1096.11,71467
1.642E+12,1096.14,1096.88,1094.68,1095.87,53266
1.642E+12,1095.48,1096.63,1094,1096.1401,46499
1.642E+12,1096.14,1096.38,1094.22,1094.7806,45484
1.642E+12,1094.5,1097.775,1093,1097.018,57341
1.642E+12,1097.0818,1098.75,1096.15,1098.3701,56792
1.642E+12,1098.6184,1099.4,1097.67,1098.48,42896
1.642E+12,1098.32,1098.32,1095,1096.6401,35969
1.642E+12,1096.4401,1097.3328,1094.34,1095.23,35117
1.642E+12,1094.98,1094.98,1090.5,1091.5184,64183
1.642E+12,1091.3359,1094.33,1090.75,1094.02,53387
1.642E+12,1094.26,1094.7496,1091.26,1092.39,38771
1.642E+12,1092.05,1094.23,1090.47,1090.92,39180
1.642E+12,1090.475,1091.01,1089.0901,1089.9351,60574
1.642E+12,1089.75,1092.89,1089.01,1092,75900
1.642E+12,1091.96,1092.97,1090.069,1092.57,52954
1.642E+12,1092.55,1094.8711,1092.0701,1094.382,53356
1.642E+12,1094.58,1095.3,1092.75,1094.7335,47102
1.642E+12,1094.9191,1094.92,1092.33,1092.675,33311
1.642E+12,1093,1093.9999,1090.41,1090.41,41490
1.642E+12,1090.745,1091.5099,1088.13,1088.8,37916
1.642E+12,1089.1599,1091.52,1088.5556,1090.66,32042
1.642E+12,1090.2162,1091.4999,1085.73,1086.0355,62081
1.642E+12,1086.55,1087.8855,1085.96,1087.8399,49952
1.642E+12,1087.2722,1087.9599,1086.25,1087.5,36289
1.642E+12,1087.3287,1087.7221,1083.6042,1083.9116,57275
1.642E+12,1084.1017,1085.47,1083.53,1084.825,51379
1.642E+12,1084.775,1088.38,1083.89,1087.8,54990
1.642E+12,1087.88,1089.99,1087.8,1088.91,57611
1.642E+12,1089.24,1090.21,1088.5,1089,46296
1.642E+12,1089,1092.96,1088.72,1091.99,66782
1.642E+12,1092.2468,1093.88,1092.0401,1093.64,45622
1.642E+12,1093.56,1093.7,1092.5101,1093.42,34595
1.642E+12,1093.04,1094.25,1091.29,1092.0564,63210
1.642E+12,1092.17,1093.49,1090.13,1090.13,18985
1.642E+12,1090.14,1092.8058,1088.36,1088.44,27051
